"Level";"Name";"Type";"Cast Time";"Range";"Components";"Duration";"Description";"Source"
"0";"Acid Splash";"Conjuration cantrip";"1 action";"60 feet";"V, S";"Instantaneous";"You hurl a bubble of acid. Choose one creature within range, or choose two creatures within range that are within 5 feet of each other. A target must succeed on a Dexterity saving throw or take 1d6 acid damage.<br> This spells damage increases by 1d6 when you reach 5th Level (2d6), 11th level (3d6) and 17th level (4d6). ";"Sorcerer"
"0";"Blade Ward";"Abjuration cantrip";"1 action";"Self";"V, S";"1 round";"You extend your hand and trace a sigil of warding in the air. Until the end of your next turn, you have resistance against bludgeoning, piercing, and slashing damage dealt by weapon attacks.";"Sorcerer"
"0";"Booming Blade";"Evocation cantrip";"1 action";"Self (5-foot radius)";"S, M";"1 round";"(a melee weapon worth at least 1 sp)You brandish the weapon used in the spell's casting and make a melee attack with it against one creature within 5 feet of you. On a hit, the target suffers the weapon attack's normal effects and then becomes sheathed in booming energy until the start of your next turn. If the target willingly moves 5 feet or more before then, the target takes 1d8 thunder damage, and the spell ends.<br>At Higher Levels. At 5th level, the melee attack deals an extra 1d8 thunder damage to the target on a hit, and the damage the target takes for moving increases to 2d8. Both damage rolls increase by 1d8 at 11th level (2d8 and 3d8) and again at 17th level (3d8 and 4d8).";"Sorcerer (TCE)"
"0";"Booming Blade";"Evocation cantrip";"1 action";"5 feet";"V, M";"1 round";"(a weapon)As part of the action used to cast this spell, you must make a melee attack with a weapon against one creature within the spell's range, otherwise the spell fails. On a hit, the target suffers the attack's normal effects, and it becomes sheathed in booming energy until the start of your next turn. If the target willingly moves before then, it immediately takes 1d8 thunder damage, and the spell ends.<br> This spell's damage increases when you reach higher levels. At 5th level, the melee attack deals an extra 1d8 thunder damage to the target, and the damage the target takes for moving increases to 2d8. Both damage rolls increase by 1d8 at 11th level and 17th level.";"Sorcerer (SCAG)"
"0";"Chill Touch";"Necromancy cantrip";"1 action";"120 feet";"V, S";"1 round";"You create a ghostly, skeletal hand in the space of a creature within range. Make a ranged spell attack against the creature to assail it with the chill of the grave. On a hit, the target takes 1d8 necrotic damage, and it can't regain hit points until the start of your next turn. Until then, the hand clings to the target.<br> If you hit an undead target, it also has disadvantage on attack rolls against you until the end of your next turn.<br> This spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8). ";"Sorcerer"
"0";"Control Flames";"Transmutation cantrip";"1 action";"60 feet";"S";"Instantaneous or 1 hour (see below)";"You choose nonmagical flame that you can see within range and that fits within a 5-foot cube. You affect it in one of the following ways:<br> • You instantaneously expand the flame 5 feet in one direction, provided that wood or other fuel is present in the new location.<br> • You instantaneously extinguish the flames within the cube.<br> • You double or halve the area of bright light and dim light cast by the flame, change its color, or both . The change lasts for 1 hour.<br> • You cause simple shapes-such as the vague form of a creature, an inanimate object, or a location- to appear within the flames and animate as you like. The shapes last for 1 hour.<br> If you cast this spell multiple times, you can have up to three non-instantaneous effects created by it active at a time, and you can dismiss such an effect as an action.";"Sorcerer (XGE)"
"0";"Create Bonfire";"Conjuration cantrip";"1 action";"60 feet";"V, S";"Concentration, up to 1 minute";"You create a bonfire on ground that you can see within range. Until the spells ends, the magic bonfire fills a 5-foot cube. Any creature in the bonfire's space when you cast the spell must succeed on a Dexterity saving throw or take 1d8 fire damage. A creature must also make the saving throw when it enters the bonfire's space for the first time on a turn or ends its turn there.<br> The bonfire ignites flammable objects in its area that aren't being worn or carried.<br> The spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).";"Sorcerer (XGE)"
"0";"Dancing Lights";"Evocation cantrip";"1 action";"120 feet";"V, S, M";"Concentration, up to 1 minute";"You create up to four torch-sized lights within range, making them appear as torches, lanterns, or glowing orbs that hover in the air for the duration. You can also combine the four lights into one glowing vaguely humanoid form of Medium size. Whichever form you choose, each light sheds dim light in a 10-foot radius.<br> As a bonus action on your turn, you can move the lights up to 60 feet to a new spot within range. A light must be within 20 feet of another light created by this spell, and a light winks out if it exceeds the spell's range. ";"Sorcerer"
"0";"Fire Bolt";"Evocation cantrip";"1 action";"120 feet";"V, S";"Instantaneous";"You hurl a mote of fire at a creature or object within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 fire damage. A flammable object hit by this spell ignites if it isn't being worn or carried.<br> This spell's damage increases by 1d10 when you reach 5th level (2d10), 11th level (3d10), and 17th level (4d10). ";"Sorcerer"
"0";"Friends";"Enchantment  cantrip";"1 action";"Self";"S, M";"Concentration, up to 1 minute";"For the duration, you have advantage on all Charisma checks directed at one creature of your choice that isn't hostile toward you. When the spell ends, the creature realizes that you used magic to influence its mood and becomes hostile toward you. A creature prone to violence might attack you. Another creature might seek retribution in other ways (at the DM's discretion), depending on the nature of your interaction with it.";"Sorcerer"
"0";"Frostbite";"Evocation cantrip";"1 action";"60 feet";"V, S";"Instantaneous";"You cause numbing frost to form on one creature that you can see within range. The target must make a Constitution saving throw. On a failed save, the target takes 1d6 cold damage, and it has disadvantage on the next weapon attack roll it makes before the end of its next turn.<br> The spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).";"Sorcerer (XGE)"
